,Seat Type,Aircraft Type,Seat Layout,Date Flown,Type Of Traveller,Sleep Comfort,Sitting Comfort,Seat/bed Width,Seat/bed Length,Seat Privacy,Power Supply,Seat Storage,Recommended,Seat Legroom,Seat Recline,Seat Width,Aisle Space,Viewing Tv Screen,reviews
48,Economy Class,Boeing 767-300,2x3x2,October 2017,Couple Leisure,,,,,,,2.0,yes,2.0,3.0,3.0,5.0,1.0,"✅ Verified Review |  I had seat 17A on this Boeing 767-300, and from this seat you have no window view apart from the wing. The TV screen view is blocked by the movable screen between business and economy class. The seat was comfortable and the pitch reasonable for a long short haul flight (4hrs 30mins). It is not possible to use the table when the person in front of you reclines his seat fully."
49,Premium Economy,A380,2x3X2,September 2017,Solo Leisure,,,,,,5.0,5.0,no,5.0,3.0,4.0,3.0,3.0,"✅ Verified Review |  The premium economy cabin looks nice and pretty sleek. The space for the legs is very good. The issue is that the seat is very hard and not extremely comfortable to spend a 12 hours night flight. Not as uncomfortable as the shell type premium economy seats, but certainly less pleasant than the more cushioned ones, like Cathay Pacific. The recline is good, not the best in the industry. Entertainment has discreet selection of movies but the touchscreen is pretty slow in response. Great recharging for laptops and smart devices."
50,Economy Class,Boeing 777-200ER,3x3x3,August 2017,Business,,,,,,,1.0,no,5.0,2.0,1.0,4.0,1.0,"✅ Verified Review |  Pluses and minuses of paying $63 for this seat. On the major plus side, it's an exit row on a long-haul jet so there's essentially unlimited legroom, plus zero danger of someone in front reclining so far their head's in your lap. It's both exit row and an aisle, so you have almost all the space in the world - until you realise you've paid $63 for zero in-seat storage and zero notification from BA of this fact. There's no seat pocket, no nothing. After the couple sharing an OHL with me insisted their bag be placed on top (because mine looked ""heavy""?) I -- being only 5'2""ft tall and therefore unable to access overhead bags without assistance felt obliged to keep my phone, portable charger, headphone, boarding pass, passport and landing card all in my seat with me on a 12 hour flight. Was it better than any other seat in WT? Maybe. Was it worth $63? No. I feel conned."
51,Economy Class,A380,2x4x2,July 2017,Couple Leisure,,,,,,,2.0,no,1.0,2.0,2.0,3.0,1.0,"✅ Verified Review |  Avoid the A380 upper deck economy class outboard seats (a,b or j,k), as these have severely restricted leg room due to electronic boxes on the floor. It is not possible to sit naturally; one must sit with legs at an angle and with your feet together and the space does not permit any items to be placed at your feet. In addition, the overhead bins are undersized and will not accommodate even an approved carry on. The window is also extra small and difficult to see out of. (The window passenger does get an extra storage space along the wall). The entertainment screen is quite small. Finally, the galley serving other classes on the upper deck is located directly behind the small economy section and the food preparation smells are oppressive. On the other hand, the middle bank of 4 seats upstairs is a good option, as seats there have good foot room and the cabin is more intimate than seating on the main lower deck."
52,Premium Economy,Boeing 747,2x4x2,July 2017,Couple Leisure,,,,,,,2.0,no,3.0,2.0,3.0,3.0,3.0,"✅ Verified Review |  Our London to Singapore trip started off with both our seats apart in different rows (hard to believe that a ticket booked together under the same family name would be assigned as such but realised onboard that other passengers had similar issues). Aircraft cleanliness was below standard. The menu card given was not meant for the sector (was meant for the next leg of journey Singapore to Sydney). Therefore food of choice was not available and no apology rendered. No headsets nor blanket provided on seat and subsequent to request to the crew, none was delivered. The food served was below standards. Request for a second bottle of water was met with a curt - finish this one and we will refill. Request for coffee in the morning before landing was never delivered. Overall a very poor experience. On our Singapore to London journey we paid an upgraded to business, however the experience was same on all counts."
53,Premium Economy,A380,2x3x2,June 2017,Business,,,,,,5.0,3.0,no,4.0,4.0,3.0,4.0,5.0,"✅ Verified Review |  I flew on one of the newest A380's, and got the upgraded premium economy cabin. The seats felt quite hard, and became really uncomfortable after a few hours. The seat pitch is just OK for someone like me who is 184 and just had knee surgery. I preferred the old seats for comfort. The IFE was of great quality, and plenty of movies to chose from. The noise cancelling headphones are good for premium economy. But there is a very bad design flaw with the seats: they cannot be brought back to the upright position without the help of a flight attendant pushing the back up. Also, it is almost impossible for the person sitting in a middle seat to get up during the night. Last but not least, there are no dedicated washrooms for premium economy - actually only a total of 4 for all the upper deck economy and premium economy passengers (and always as usual on BA, one of them is reserved for the crew)"
54,Premium Economy,Boeing 747-400,2x4x2,May 2017,Couple Leisure,,,,,,1.0,1.0,no,2.0,2.0,1.0,2.0,1.0,✅ Verified Review |  After a faultless flight with BA in a 777 travelling World Traveller Plus (Premium Economy)  at the start of our holiday we were aggrieved to find that the Boeing 747-400 allocated for the return journey was an aircraft clearly at the end of a long service and one that did not meet the demands of a modern airline competing for customers. The aircraft was dirty with a thick layer of dust between the window seat and the cabin wall. There were cup ring marks on the arms and the seats were the most uncomfortable I think I have sat on for a long flight of nearly 9 hours in any class including economy. The cushion area was devoid of any 'cushioning' and the seats were worn and old looking. The TV had a screen not much bigger than my mobile and the quality was so poor I decided that I would use my phone and listen to the music for the entire trip home. This is the first time I have ever felt that I could not tolerate the poor screen quality. I had to wear my glasses just to try and follow the on screen commands. The only positive was that the earphones provided worked well on my phone and the noise cancelling removed most of the inflight noise. At a time when BA seem to be moving away from their prestige airline image that has been their selling point for many years I really can not understand why customers travelling long distances should have to be transported in such awful planes. My only serious satisfaction is that I did not accept the offer to upgrade to business. First of all the price offered was too much and secondly when I checked out the business class it did not look in anyway inviting. As stated this review is for the 747-400 used on the return Seattle to LHR and this is a seat/aircraft type review and my comments are honest and accurate.
55,Economy Class,Boeing 777,3x4x3,May 2017,Couple Leisure,,,,,,4.0,4.0,yes,3.0,4.0,2.0,4.0,4.0,"✅ Verified Review |  Sat in 35J and 35K from London to Beijing and also Hong Kong to London Heathrow.  This is a 2 seat row, starboard side, at the end of the forward section of economy. Seat folded back and the entertainment box in 35K was no problem. Quiet area and toilet behind was not a problem. Seat rather narrow but was able to catch 5 hrs sleep using neck pillow. Legroom was ok for me, 1.85m height. Best seats in economy -better than paying twice the price for Premium Economy. Food and service average for BA these days. Entertainment system worked well."
56,Economy Class,A380-800,2x4x2,April 2017,Couple Leisure,,,,,,,5.0,yes,5.0,4.0,4.0,5.0,5.0,"✅ Verified Review |  I really like this aircraft. Great travel experience. Could not get seats in Premium Economy - but the upper deck seat we had were excellent. Comfortable, good seat depth and padding - wide enough, nice headrest not bad for a standard economy seat. Window seat has a really useful storage bin. Great experience."
57,Economy Class,Boeing 777 200,3x3x3,April 2017,Couple Leisure,,,,,,,2.0,no,1.0,1.0,2.0,3.0,2.0,"✅ Verified Review |  I flew from Gatwick direct to Tampa on 14th April, and returned from JFK in New York on 22nd April. Both flights were Economy class on Boeing 777/200 with 3x3x3. One person sat in front of me had a broken seat, and it kept reclining beyond anything I have ever seen before, he was virtually sat on my knee, The stewardess said, ""I'll have to fix that"", like she could have done, and left it at that. It was embarrassing for the person in the seat as well as annoying for me. I was able to move a family member to an empty seat, and then vacate that situation. However, when the person sat in front of my new seat fully reclined his chair, I was also hemmed in so much it was nearly impossible to get up to go to the toilet. The same thing happened to me on the return flight. How can a fully reclined seat leave you unable to get up to go to the toilet without pushing the person in front and waking them up. This is not acceptable, the TV screen was about one foot from my face and as someone who suffers claustrophobia, it was an horrendous flight. I have never had this on any other airline and I fly several times a year. This is the first and last time I will ever fly BA."
58,Economy Class,Boeing 767,2x3x2,February 2017,Business,,,,,,1.0,2.0,no,2.0,2.0,1.0,2.0,2.0,✅ Verified Review |  British Airways seems to always have old and dirty aircraft these days. The seats are uncomfortable and cramped. Legroom is poor and seat width constricting. Perhaps it is all made to feel worse by the surly cabin crew and all round penny pinching approach of BA these days
59,Economy Class,Boeing 747-400,3x4x3,February 2017,Couple Leisure,,,,,,,3.0,no,2.0,3.0,1.0,3.0,3.0,❎ Unverified |  Advanced booked and paid for the first row of 2 seats at rear for my wife and I. Whilst aircraft was very clean we had a very uncomfortable flight from San Diego to LHR as the seats were narrower than any I have experienced. You were seriously cramped - heaven knows how a large person would even fit in. This comment was also made by others on the flight. On the subsequent short haul flight LHR to EDI the width of the seats were greater than that of the long haul one. Makes no sense. Used Iberia on outward flight from Madrid to San Jose with some trepidation but found their seats wider and much more comfortable
60,Premium Economy,Boeing 747-400,2x4x2,August 2016,Business,,,,,,1.0,1.0,no,2.0,1.0,1.0,1.0,1.0,"✅ Verified Review |  British Airways Premium Economy on Boeing 747-400. Dirty, outdated audio visual possibly the worst ever, the seating was in a terrible condition, trims broken The audio visual did not work and my iPhone had a bigger screen. The surrounding area was unclean and the staff accepted the facts but just did not care. The worst ever flown would suggest to give British Airways a wide berth on this route, ditto South Africa where similar issues encountered."
61,Economy Class,A380-800,2x4x2,January 2017,Solo Leisure,,,,,,3.0,2.0,no,2.0,3.0,3.0,3.0,3.0,✅ Verified Review |  The British Airways A380 Upper deck window economy class seat have two boxes on each side under your seat in front of you which may block your leg and make you very uncomfortable. It may also make the area for store bags and laptop smaller. But the aisle seat next to the window seat got bigger area of underseat storage.
62,Premium Economy,Boeing 777-300ER,2x4x2,November 2016,Business,,,,,,5.0,3.0,yes,4.0,5.0,3.0,4.0,3.0,"✅ Verified Review |  Although the British Airways premium economy product is generally mediocre, their seats are surprisingly comfortable. While many premium economy seats are wider at 19+ inches with around 38 inch pitch and 8-9 inch recline, BA premium economy are narrower at 18.5"" (similar to the width of a Singapore Airlines economy). Nevertheless, there is enough space for the elbows, and ample legroom given the pitch. Although, if you are sitting at the aisle, there is an odd-looking entertainment box between the two seats in front of you and railings directly under your feet - which could make the placement of your legs somewhat tricky. The padding is comfortable, even for long-haul flights but there is no leg rest (again contrasts some competitors). AVOD is responsive and has a good selection. Screens are 10.6"" wide, somewhat too small in the upright position - unless the passenger in front of you is in full-recline, in which case the screen will be on your lap and you can forget about eating, using laptop, or doing any useful activity."
63,Premium Economy,Boeing 777,2x4x2,December 2016,Family Leisure,,,,,,5.0,3.0,yes,5.0,5.0,5.0,4.0,4.0,"✅ Verified Review |  Premium Economy on British Airways Boeing 777. We sat in front of a bulkhead, which was very spacious. The seat recliner went further back than expected, although I'd have liked the leg rest to have raised a little bit more. Width of seat was okay, and the entertainment buttons were easy to get at. The seat cushion were comfortable and a pillow was provided."
64,Economy Class,Boeing 777-300,3*3*3,December 2016,Business,,,,,,3.0,2.0,no,1.0,4.0,4.0,3.0,3.0,✅ Verified Review |  The Boeing 777-300 can be cramped with a 3x3x3 layout and will be worse with the new 3x4x3 layout in the future. The biggest issue is the lack of space under the seat in front of you due to the in-flight entertainment (IFE) boxes. I was in seat 31A and the box took up three quarters of the space. It was so wide I could rest my feet on it. I was lucky the middle seat was empty so I could put my bag under that seat and if I sat on the angle could stretch my feet out under the middle seat.
65,Economy Class,A319,3x3,November 2016,Solo Leisure,,,,,,,1.0,no,1.0,1.0,2.0,1.0,,"I'm a good bit over average height as many Scandinavians are. Therefore it seems completely out in the blue that BA uses a seat configuration on their London Heathrow to/from Copenhagen service, with insufficient legroom if you above say 185cm of height. It seems as BA has crammed more seat rows into the cabin than other airlines. Which also has the result of insufficient overhead space for hand luggage which are then placed under seats and elsewhere. The results are a good percentage of disappointed passengers which will avoid BA in the future due to lack of the most simple comfort. "
66,Economy Class,A320,3X3,October 2016,Solo Leisure,,,,,,,4.0,yes,5.0,5.0,5.0,5.0,,"Sat in row 7A very comfortable slimline seat, clean modern and airy interior. I found for a 2 hour flight the seat pitch was perfect and not having somebody occupying the middle seat made it feel more spacious. Return flight was row 14F, again spacious and comfortable."
67,Economy Class,Boeing 747-400,3x4x3,September 2016,Couple Leisure,,,,,,,1.0,no,1.0,1.0,1.0,1.0,2.0,"✅ Verified Review |  This was the worst flying experience we had and the worst airline I have ever flown with.  After I paid about $150 for the seats, they were fully blocked - could not bend backward or forward and the middle separator could not be raised. After contacting the BA Customer Relationship I was flatly denied any refund I requested for those terrible seats. "
68,Economy Class,Boeing 787,3x3x3,September 2016,Family Leisure,,,,,,1.0,1.0,no,1.0,1.0,1.0,1.0,1.0,"✅ Verified Review |  Felt like a monkey in a shrunken cage. Shame on BA for this inhumane treatment. I will never fly with BA again. Leg room is non existent, then wait for panic when the forward passenger reclines. Unable to comfortably eat, as there is no elbow room. No control for individual air flow. Was told air crew had control. I asked attendant to turn down the heat. Twice. Nothing changed. BY the time the food trolley had reached us in row 41, they had ran out of 1st choice. On the row ahead of us and may others, the cloth had separated from the plastic back, exposing foam padding. "
69,Economy Class,A321,3x3,September 2016,Solo Leisure,,,,,,,1.0,no,1.0,1.0,1.0,1.0,,"Sadly leg room has dramatically reduced since the new roll out of seats. As a 6'3"" long legged man I always picked British Airways as I felt that they gave me an extra inch of leg room over the budget airlines. Looks like this is no longer the case as flying from Faro to Gatwick my legs were firmly wedged into the back of the seat in front, leaving me with nice dented, sore knees on arrival. If anyone is over 5'5' I would advise against flying in economy class with British Airways. They are now a budget airline with premium prices, the worst combination."
70,Economy Class,Boeing 767,2x3x2,August 2016,Family Leisure,,,,,,2.0,2.0,no,1.0,1.0,1.0,2.0,2.0,"✅ Verified Review |  Disappointed with the latest cuts by British Airways. No snacks/napkins with the drinks (we used to get a bag of nuts, lemon slices and a napkin) and no hot meals. On a 3 1/2 hour flight we were served the equivalent of a meal-deal. Coffee and tea are also not automatically provided. The staff were fantastic and surely there is more than enough time to serve a hot meal. Instead we were presented with a box containing a cheese and ham sandwich (or egg and tomato), a 2x1 inch slice of cheese with 2 crackers and a chocolate dessert the size of a small shot glass. Legroom has been reduced too. On the outward flight we had no video either. No value for money. I would strongly recommend budget airlines where tickets cost considerably less and one may bring their own meal-deal on board or local airlines where for the same price-range as BA one is served drinks with snacks, a hot meal followed by tea or coffee. BA is missioned to take passengers' money and give the least possible in return."
71,Economy Class,Boeing 787-8,3x3x3,August 2016,Solo Leisure,,,,,,1.0,1.0,no,1.0,2.0,1.0,1.0,1.0,"Ridiculously restricted footroom in every other seat as they have massive metal boxes in the foot space, presumably for the inflight entertainment system. See attached photo. I wrote to complain primarily about this and received an apology for the delay in departing - my complaint was ignored or not read. They really don't give a damn about people in economy and they have no qualms about showing it. Most uncomfortable flight I've had in recent years and clearly not something they can and want to change anytime soon so once I've flown the rest of my booked flights I'm done with BA."
72,Economy Class,A380,3x4x3,July 2016,Solo Leisure,,,,,,1.0,1.0,no,1.0,1.0,1.0,1.0,1.0,"✅ Verified Review |  The legroom on BA Economy is only getting worse as they change planes and try to squeeze more passengers onboard. The undercarriage of the seats in-front prohibited much of the area to put your feet during the flight. Due to the seats being made narrower to fit in more seats across the plane they do not give you much wiggle room, which is essential for a long haul flight. The gentleman in front of me had his chair reclined the whole journey which forced me to do the same, which became a domino effect throughout the plane as you are unable to see the small TV screen in front of you. The power supply in economy was a single USB point next to the screen area, which is limiting if you need to use a laptop or a device not using a USB for charging."
73,Premium Economy,Boeing 777,2x4x2,July 2016,Business,,,,,,1.0,1.0,no,4.0,3.0,3.0,3.0,1.0,"✅ Verified Review |  
London to Bangalore. Seat 12A in Premium Economy. Bulkhead seat so plenty of legroom. Seat width OK. A bit hard on the posterior - using the supplied cushion helped. To be honest if you are a light sleeper you're better off with a flat bed in Business. Headrest not easily adjustable unlike the newer Economy seat. No power or storage, only a connection for headphones. Headphones supplied were good - better than the in-ear ones in Economy. Also received eyeshades, ear plugs (horrid), socks, a toothbrush and toothpaste. Plenty of food - main meal 2hrs after takeoff followed by breakfast 2hrs before landing. VOD poor, on a bulkhead seat it is on an arm which doesn't really stay at the required angle. Lots of screen burn on this particular unit as well. Selection of movies and TV shows not up to par with the Middle Eastern airlines. Overall feeling was that the plane and decor were a bit tired. Cabin crew perfunctory but not hugely friendly. Overall, BA are not as good as they used to be and have been overtaken by the Middle and Far Eastern carriers. A shame, but for this route they are the only ones who fly direct."
74,Economy Class,A380,3x4x3,June 2016,Family Leisure,,,,,,,2.0,no,1.0,2.0,3.0,2.0,,"Travelled on A380 from London Heathrow to San Francisco. Economy class foot space under the seats is a complete joke. In a row of 3 seats we had 2 large boxes which I assume houses IFE control equipment. I am 5'7"", and was sat at a window seat. The box (the size of a desktop pc) is placed in such a way you can only stretch out one leg unless you sat diagonally in your seat. For a 10 hour flight was very poor. Also seats in front seem to either recline back further or are thicker than older models as when the seat came back, the screen was about 10inches from your face, so very difficult to view the screen so close. Poorly designed for a new plane. Flew back on one of the older, but better designed planes for long haul flights. Would recommend the airline, but not the choice of plane for long journeys."
75,Economy Class,Boeing 747,3x4x3,April 2016,Couple Leisure,,,,,,3.0,1.0,no,1.0,2.0,2.0,2.0,4.0,"It is time British Airways got rid of their old 747s. I flew Heathrow-Joburg return and both times the seat spacing was totally inadequate. I am 5'9"" tall 73 kgs, not a large person and I could not even cross my legs to get comfortable on the 11 hour flight. On the return flight the aircon in our seating area was not working and as the plane had been standing in the sun all day it was like an oven. Part of the galley oven units were not working and meal times were manic with staff running up and down the plane with oven trays of food from one area to another. The staff did their best but it was not good. This was the first time I have used British Airways in over thirty years because of past bad experiences, seems things have not really changed."
76,Premium Economy,Boeing 767,2x3x2,January 2016,Couple Leisure,,,,,,,2.0,no,1.0,2.0,2.0,2.0,2.0,"Club Europe on BA is a complete waste of money. The only thing you get for the extra money is a fairly good meal. The leg room is no difference, there is no ""middle seat"" for comfort, as there is other airlines The fast checkin at the airport was broken so we had to queue with everybody else. When the plane landed at Heathrow, we disembarked via a door behind Club Europe seats. Staff did not allow us to go first thus making it a mad dash for the door. There were many older people in Club Europe and they seemed fairly overwhelmed. Club Europe bags were last out and therefore we had to wait over half an hour for our bags. We are unsure exactly what the extra cost for Club Europe gave us and at over £200 per person we were disappointed, to say the least We complained about this but received absolutely no response, apology or compensation from British Airways .In summary, do not waste your money on flying Club Europe with BA."
77,Economy Class,A380,2x4x2,November 2015,Family Leisure,,,,,,,2.0,no,2.0,2.0,2.0,2.0,2.0,"British Airways charge $50 - $59 each per segment to guarantee seats together as a family. In our case, with two flights the total is $300 - $354 beyond the over $2,000 we've paid for tickets. I wouldn't have booked with British Airways if I had known this prior. This is the first time we've encountered this on BA, so it'll be our last flight on British Airways. I consider it extortion to charge a family that much money to guarantee seats together for long international flights (almost 22 hours total). One of my family members has severe flight anxiety. It's a disservice to our family and to the stranger who may potentially be seated next to her. This is a cheap, greedy means of extracting more money from customers. (And BTW, I'm not talking about exit row or special seats - these are regular coach seats, including even a middle seat.) I can try for seats together 24 hours prior to the flight, and can hope that I can arrange to have online access at that time, and HOPE that my family, after paying so much money can sit together for the 22 hours of flight time."
78,Premium Economy,Boeing 777-200,2-4-2,April 2016,Couple Leisure,,,,,,,3.0,no,3.0,3.0,1.0,2.0,1.0,"✅ Verified Review |  This was by far the most disappointing waste of upgrade miles ever used. I used 30,000 miles I believe to upgrade to World Traveler Plus (Premium Economy). My first complaint was with the worn out cloth that covered the seats. There were tears in the fabric and the foam padding in the seats is clearly in need of replacement. My second complaint is that there was no power point at my seat. The AVOD system was a joke. We left London Gatwick Airport and they rebooted the system 4 times because it would not work. Sometime around the third hour into the flight it began to work, but my screen was so scratched and dull that it did not matter, I couldn't watch anything on it. All I could see was a washed out echo of a picture.  BA has stated time and time again that all of their 777-200's have been upgraded with the new cabin. Well I am here to tell you they are lying. This plane we were on was a piece of junk. I have my return flight tomorrow, and I am dreading getting the same plane. It is the London to Tampa (Disney) service, so why bother spending money upgrading the plane when it is constantly full of families spending their hard earned money - expecting great things from BA - but BA providing a very poor service. I believe BA is taking part in a bait and switch tactic with their planes, trying to get people to upgrade a cabin while showing them Boeing Dreamliner's and Airbus A380's, but unless you are flying to New York or Boston you end up on one of their junkers, having wasted your miles. I will be complaining in person and via email and letter upon my return."
79,Economy Class,A380,3x4x3,October 2015,Business,,,,,,2.0,1.0,no,1.0,3.0,4.0,3.0,2.0,"British Airways A380 from London to San Francisco.  I have always found British Airways food and service to be better than the average and they recognise loyalty with some good perks when you have silver or higher status. But my biggest disappointment is they have invested all this money into new economy cabins with new IFE, and have taken up half of the passenger foot space with the largest equipment boxes I have ever seen on an airline. You could maybe try to excuse it on their refitted older aircraft, but for brand new aircraft like the A380, it's inexcusable. I have flown the A380 on Emirates, Etihad, and BA, and the former 2 have IFE systems that are a league ahead of BA, yet there isn't a single equipment box to be seen anywhere. With BA, in a single row of 10 seats, there are at least 6 of these boxes. The A380 is undoubtedly the most comfortable aircraft in the sky for economy passengers, and yet incredibly, BA have found a way to negate that."
80,Premium Economy,A380,2x4x2,February 2016,Solo Leisure,,,,,,,3.0,yes,4.0,4.0,4.0,3.0,3.0,"It is good to fly British Airways Premium Economy if on an A380. It is 2x4x2 across as on 777 but wider, and good that it is on upper deck so that the window seat gets advantage of a drawer space by the window. Service is better than on Economy, and they are generous on drinks. I think the meal is different from the economy meal. The seat is quite comfortable."
81,Economy Class,Boeing 777-300,3x3x3,April 2016,Business,,,,,,3.0,2.0,no,1.0,2.0,1.0,2.0,3.0,"British Airways Boeing 777-300 has easily the most uncomfortable seats that I have ever sat in. Wafer thin padding and the worst headrest ever. Keep in mind I am 5'9"" tall and weigh 67 kilos, so not over weight or huge. The in-flight entertainment had limited options and the food was not much to write home about. The staff was friendly and helpful though. But, that does not take away from incredibly bad seats. "
82,Premium Economy,Boeing 777-200,2x4x2,March 2016,Family Leisure,,,,,,,1.0,no,3.0,2.0,3.0,3.0,2.0,"Mixed feelings as we only paid £55 each to upgrade from Economy to Premium Economy for the long haul flight between LHR and Buenos Aires. For this price it was worth it for the extra room, privacy, champagne on arrival etc. However if I'd paid the full price, I'd have been pretty annoyed - especially on the return flight. Both times they'd run out of our choice of food for the main meal, seats were still pretty uncomfortable, tiny flickering screens etc. The quality of food on the return flight was terrible. However, from what I could see of economy class it changed our experience from unbearable to bearable! Perhaps I'm a bit naive, but I really expected better from British Airways."
83,Economy Class,Boeing 747-400,3x4x3,March 2016,Solo Leisure,,,,,,5.0,1.0,no,3.0,3.0,1.0,1.0,5.0,"I was in economy class on a flight to London, from New York. This was without a doubt, my most uncomfortable fight to date. I have flown all over the world and never been so uncomfortable. British Airways no longer has arm rests, they have half walls on the side of each chair. As a woman with hips, I was so jammed into my seat, that I was in discomfort my entire ride. I am average size, with a pair of hips that don't fit into a square box. To add insult to injury, being so jammed into my seat my thighs, everything was more difficult to maneuver. It made me uncomfortable and rather embarrassed. I upgraded my flight home just so I wouldn't have to deal with it. I will not be flying BA again."
84,Economy Class,Boeing 747-400,3x4x3,August 2015,Family Leisure,,,,,,,1.0,no,1.0,1.0,3.0,1.0,1.0,"The flight was pleasant however the Boeing 747-400 seat was very uncomfortable for a night flight back to Heathrow. They say people like to arrive refreshed once they get off the plane, I felt like I need being stretched out after being crammed in. The landing by the pilots was one of the worst I've ever experienced. The service by the cabin crew was excellent and food was satisfactory. For a company that is supposed to be the flag carrier of Britain it was very disappointing."
85,Economy Class,Boeing 787,3x3x3,March 2016,Couple Leisure,,,,,,2.0,1.0,no,1.0,1.0,1.0,2.0,1.0,"We flew return on BA from LHR to YYZ on a Boeing 787. The seating was very small. My seatmates are all over 6 ft. The seats in front are very close, the inconsiderate person in front of me immediately reclined the seat to its max. I had to put my book away because between the back of the seat and my face was 9 inches. This was 6+ hours that felt like 18 hours. When I turned on the movie the screen it was so close that I couldn't see the screen. I will never fly BA again. "
86,Economy Class,Boeing 787,3x3x3,February 2016,Business,,,,,,3.0,2.0,no,1.0,2.0,1.0,2.0,1.0,"Flew LHR -TLV return on Boeing 787 and this was my first experience of the British Airways Boeing 787. The economy seats are horrific! I am 6ft tall and of average build. Managed to secure an exit seat on the first leg but found it very tight. The return leg was a nightmare. I had a centre seat and could not move even in the slightest without disturbing my neighbours. We were literally shoulder to shoulder and wedged. Then the passenger in front reclined their seat and it was like being buried alive. To give a sense of proportion, I stretched out my arm in front of me and my elbow went past the seat in front. my screen was pointed at my chest and almost so close I could not focus. I will never travel British Airways Boeing 787 again. I will pay anything extra to avoid it or alternatively not travel at all. "
87,Economy Class,Boeing 787-8,3x3x3,January 2016,Solo Leisure,,,,,,4.0,2.0,no,1.0,2.0,2.0,3.0,1.0,"This was an overnight British Airways Boeing 787 flight from Calgary, Canada to London Heathrow and I was sat in seat 36A. This was not a good seat! There was very little room between my seat and the one in front. I am not tall or big but felt cramped throughout - the seat width is not great either. I would actively choose Emirates or Singapore or possibly KLM over BA if given the choice in future. Comments from people around me suggest that I am not alone in thinking this. Experience was not helped by a rushed meal service with poorly defined choices (chicken or pasta - pasta with what?) and average quality. I had expected British Airways to be better than this!"
88,Economy Class,Boeing 787,3x3x3,November 2015,Couple Leisure,,,,,,4.0,3.0,yes,2.0,2.0,5.0,4.0,4.0,"My experience flying British Airways Boeing 787 overnight from Montreal to London was so uncomfortable that we had to upgrade our seats to an access row on our return trip. The seats are so close to one another that the entire flight was like a lesson in withstanding torture : claustrophobic, hot, cramped, and barely endurable. Neither my husband nor I are large people, and the seats themselves were comfortable as far as hip room was concerned, but the backs of the seats in front of us were so close that we had little to no room to manouver. Just awful. I have Celiac disease and so I ordered a gluten-free meal. The dinner option was nice (tilapia on rice with side salad and fruit), but breakfast the next morning consisted of a broken plain rice cake with a small pat of jam and a cup of water. Seriously?  We paid for exit row seats en route back so we had extra leg (and breathing) room, and the GF meals I was given were wonderful. Once again, staff were lovely. I don't know whether there had been issues cabin cooling on our first flight or not, but the flight home was a totally different experience."
89,Economy Class,Boeing 767-300ER,2x3x2,April 2015,Family Leisure,,,,,,,3.0,yes,4.0,3.0,5.0,4.0,3.0,"I was in seat 26A, and legroom is better than average (not excellent though). They have movies and news via overhead screen. Meal is nice but disappointing for a 5 hr flight (LHR-LCA). These Boeing 767 have the old but comfy seats. Also as its old, the legroom is good enough. The recline is stiff but it goes a decent way back (even though 26a is at the back of the cabin). For meal it was a sandwich.  Also good value to money. "
90,Economy Class,A320,3x3,January 2016,Couple Leisure,,,,,,,3.0,yes,5.0,1.0,4.0,4.0,1.0,"Tenerife to Gatwick on A320. Managed to secure exit row seats in refurbished cabin. These are the best seats in the plane now that there is no difference in seat pitch between Club and Economy. However they become really uncomfortable after a couple of hours, so this flight is an endurance test for the back. The quid pro quo on the extra legroom is that these seats do not recline (the other rows do have some recline but not much) which makes the discomfort more acute. Good seat width too even with three blokes in row - cabin on A320 seems wider than B737. Good cabin service of drinks with nibbles; fairly substantial snack box (egg mayo roll, chicken wrap, cheese and biscuits, chocolate mousse); and further drinks runs. Very competitive price at peak time, so pretty good overall. "
91,Premium Economy,Boeing 777,2x4x2,November 2015,Business,,,,,,,3.0,no,3.0,2.0,3.0,4.0,2.0,"Moderately old Boeing 777, tired decor but functioning screen, which was a nice surprise. Decor flecked with some sort of particulate matter which had not been cleaned off. Also, the leather-effect polyvinyl on the seat back appeared to have been attacked with a box cutter, which was disturbing. Seat jack socket for headphones was intermittent; for sound in both ears, you had to hold it in with a certain amount of pressure. Premium Economy seats don't recline much; barely any more than Economy. Flat and hard, which leaves your bottom numb after a while. Additionally, and this is relevant to the cabin layout, there are no toilets in P Economy, which means you have to go through the curtains into Economy and every glares at you, thinking your a Biz Class customer coming to use the Economy toilets. So, not much cop really. 5 out of 10, as I don't see the benefit over regular Economy."
92,Economy Class,Boeing 777-200ER,3x3x3,November 2015,Couple Leisure,,,,,,1.0,3.0,no,2.0,2.0,2.0,2.0,2.0,"British Airways Boeing 777-200ER with old screens, remotes barely work, seats flat and very uncomfortable. 8 to 9hrs sitting in these seats would damage anyone's back. Interior trim and general look of cabin is very old and dated."
93,Economy Class,A320,3x3,November 2015,Couple Leisure,,,,,,,1.0,no,4.0,3.0,3.0,2.0,,Booked exit row seats 12D/12E. Seat and the flight were good. BA internet service prior to flight very poor. Could not find anywhere to order a gluten free meal. Could only download one of two boarding passes for the flight. Flight was on time but we had to wait for more than 30 minutes for our luggage to arrive at the carousel. Crew efficient but unfriendly.
