,Lounge Name,Airport,Type Of Lounge,Date Visit,Type Of Traveller,Comfort,Cleanliness,Bar & Beverages,Catering,Washrooms,Staff Service,Recommended,Wifi Connectivity,reviews
88,Aspire,Zurich Airport,Business Class,March 2017,Business,1.0,3.0,1.0,1.0,2.0,1.0,no,3.0,❎ Unverified |  The Aspire lounge at Zurich Airport is handy when you are a lone business traveller but for families or even couples it is simply not up to par. It is far too small with almost non existent service. Food and beverages are not sufficient. I will not be returning to this lounge.
89,,London Gatwick Airport,Business Class,February 2017,Business,5.0,5.0,4.0,4.0,4.0,5.0,yes,5.0,"❎ Unverified |  BA new lounge at LGW. In spite of reported teething problems, the lounge is fully operational. Clean, well staffed and well laid out. Reasonable selection of breakfast food offerings in line with LHR offering. Good airport views from large windows. There is a small but well equipped childrens play area which was quite at the time of review. There is a good selection of magazines and news papers. A positive experience and well worth the wait."
90,Terraces Lounge,Berlin Tegel Airport,Frequent Flyer,January 2017,,4.0,5.0,5.0,3.0,2.0,5.0,yes,4.0,"✅ Verified Review |  British Airways has its own lounge at Tegel-Airport which accomodates all oneworld peers and given the size of the airport, the lounge is pretty spacious, they seem to have used the space very efficently. It is placed before security (this means less time to spend there then usual) and the toilets are located 2 floors beneath, so you have to take the elevator to get there. There are public restrooms, they don't belong to the lounge, but it is really not the fault of British Airways for this, I would rather say, the airport infrastructure made it like this. The persons at the reception are friendly and it is a pleasure to see them all the time smiling and ready to help you. The drinks are plentiful, it is not the case when it comes to food: they only have their ""signature"" sandwiches which are good and come in 4 or 5 varieties. The problem is that there is nothing more and they used to have some crisps. Now they were replaced by peanuts and to be onest I really miss those crisps. Considering that they only have a few flights from Tegel, it is nice of BA to have a lounge there and it is a good opportunity to spend the time before your flight."
91,Terminal 5 Galleries First,London Heathrow Airport,First Class,January 2017,,4.0,5.0,5.0,3.0,5.0,3.0,yes,4.0,"✅ Verified Review |  As I read some reviews online, looks like this lounge was made by British Airways to accomodate the othere oneworld peers with status Emerald and not use their own Concorde Lounge. After reading about it, I wasn't expecting much and I could realise it wasn't a real first class lounge. It had some elements but I have seen better ones. I should start with the fact that it was crowded, yet not full, you could find a seat. About the food, there was a buffet with not so many things and the a la carte menu wasn't present, I had to ask an waiter about it. Then I ordered the famous British Airways Burger which wasn't great. Something was missing. The desserts were better whith a lot of choices (cakes and fruits) and good quality. The drinks, as in every lounge are plentfull and always there when you need them. In the desription there is a spa-area which I couldn't find. The toilets were very modern and very clean. A good place for spending the time between flights, nothing more."
92,Executive Lounge,Rome Fiumicino Airport,Business Class,February 2017,Business,5.0,5.0,5.0,1.0,4.0,4.0,yes,4.0,"✅ Verified Review |  It was very quiet when I visited at 10am on a weekday. I'm always happy to be able to use a lounge when travelling - but I've been in better. There is no view over the airport. The lounge has windows but you can only see the adjacent building. Good choice of drinks. The food choice was not very good. A few pastries, some ham and cheese and sliced bread. There are no flight information screens in this lounge but they will announce your flight. Reasonably well located - only a short walk from the gates."
93,T5 Arrivals,London Heathrow Airport,Business Class,January 2017,Business,4.0,4.0,4.0,3.0,4.0,4.0,yes,4.0,"✅ Verified Review |  As my flight from Hong Kong arrives at 4:30am and no hotel will check you in, the BA Arrivals lounge is really useful. I did expect this lounge to be very good at the new T5. Not so, it is not bad, but the American Airlines Lounge at T3 after renovation is better and serves better food. But as I said, it is useful as you are not driven out to wander in the London street in winter time."
94,Concorde Room,London Heathrow Airport,First Class,January 2017,,4.0,4.0,4.0,4.0,4.0,3.0,yes,4.0,"✅ Verified Review |  When I was invited by a friend to meet in the Concorde Room my expectation levels were high. Unfortunately, while it is nice - it falls short of BA's billing in too many ways. Far too much space has been allocated to the lounging area, which meant that the individual dining tables were cramped. The food was OK and the initial service was fast enough, but the empty plates and glasses stay on the table far too long - over half an hour in our case. The lounge area is richly decorated - which makes the hospital style restrooms a bit of a shock - complete with chipped doors/walls and tired styling. Overall, it's okay, but if you judged the Heathrow Terminal 5 Concorde Room as a hotel, you'd struggle to award it 5 stars. Terminal 5 is great, but BA needs to give the Concorde Room a rethink."
95,,London Heathrow Airport,First Class,January 2017,,3.0,3.0,3.0,3.0,3.0,1.0,no,3.0,"✅ Verified Review |  Very disappointed by the initial appearance of this British Airways Terminal 3 First Class lounge at London Heathrow. First impressions count for a lot but subsequent ones were not much better. Admittedly we had previously been spoiled by the BA LHR T5 Concorde Room lounge. The welcome was insincere, the lighting was dingy and there was no real service unless you ate in the so called restaurant part. Glasses and trash were not picked up in a timely manner, tables were not wiped. This lounge was definitely the poor relation of the T5 lounges. I only wish they would have similar standards across their 2 terminals. Given the choice I would rather not go from T3 (unless I was flying Virgin Atlantic)."
96,,Houston IAH,Business Class,January 2017,Business,5.0,5.0,5.0,5.0,3.0,5.0,no,5.0,"✅ Verified Review |  Excellent friendly and helpful staff. Well stocked with drinks, cheese, fruit, biscuits, snacks. Kept tidy in the lounge. More care could have taken with maintaining cleanliness in the toilets - although I may just have been unlucky in my timing, since I did see a cleaner going in 10 minutes later. Good electrics hookups for all plug variants kept both me and my daughter (and our technologies) happy!"
97,,Singapore Changi Airport,Business Class,December 2016,Business,4.0,4.0,3.0,3.0,4.0,4.0,yes,4.0,✅ Verified Review |  British Airways has its own lounge in Singapore. The lounge is a good size with plenty of seating and power points. Staff are okay not particularly friendly and did not provide any announcements about the delay in boarding. Gate closed at 19:35 and by 19:30 people began to question if they had missed the boarding call. Had to ask as did many others what was happening only to be told there was a 20 minute delay. Snacks and meals put out where the exact same in November as is December which thankfully was not too bad. WIFI was good and lots of power points to charge devices. Bathroom and showers are good.
98,First lounge,London Heathrow Airport,First Class,November 2016,,5.0,4.0,5.0,4.0,,,yes,,"This Heathrow Terminal 3 lounge has most that you might require - a restaurant, a spa, champagne bar, food and particularly good table wine. There is also lots of space. However, it lacks any pizaz or sparkle and is definitely not the Concorde Room. It can also be a long walk from the gates, but the design of T3 makes this unavoidable."
99,Gallery,Johannesburg Airport,First Class,November 2016,,2.0,2.0,2.0,2.0,,2.0,no,2.0,Common lounge for First and Business class passengers meant space was limited. Due to inefficient queues through security and passport control we only had around half an hour in the lounge. With the limited seating and food options and quality it was long enough. Think lukewarm curry and soggy pastries.
100,Club Europe,London Gatwick Airport,Business Class,September 2016,Business,1.0,2.0,1.0,1.0,3.0,1.0,no,3.0,"✅ Verified Review |  My husband and I were looking forward to relaxing in this British Airways lounge at Gatwick Airport before our flight to Cyprus. We were expecting space, choice of food and drinks. How disappointed we were when we walked into a packed lounge with long queues to get an alcoholic drink with hot food and nowhere to sit. The only buffet type food included flapjacks, nuts, fruit ,stale brownies, lemon drizzle cake, tea and coffee. I would expect cold meats, sandwiches, salads, bread rolls, cheese & biscuits etc. It was not at all clear on arrival what queue was for what, no menus to be seen and no one to ask. What a waste of time and money to think this was a lounge with luxury in mind. We would have rather paid for a decent breakfast in one of the main restaurants. It has put us off booking club class again. There was only one toilet outside the lounge. Come on British Airways, do not take your passengers for granted and stop treating us like cattle!"
101,Concorde Lounge,London Heathrow Airport,First Class,November 2016,,5.0,5.0,5.0,5.0,,5.0,yes,,"As we were flying in BA First from London to Washington, we were invited to use the Concorde Lounge. We experienced excellent service which included complimentary eggs benedict for breakfast and superb champagne (I believe the latter was Laurent-Perrier Grand Siecle). This is the best lounge I've had the opportunity to visit. However, some of the furniture is in need of refurbishment and I was surprised to see worn, torn, stained and chipped items here and there in a lounge of this caliber."
102,Terraces Lounge,San Francisco Airport,Business Class,September 2016,Business,3.0,4.0,4.0,1.0,,4.0,no,4.0,"✅ Verified Review |  Terrible food. Stale/dry bread on the sandwiches. Dry cheeses. Tasteless soup. Veges OK. But for a first class lounge, it really needs to step up to other airlines. Feels like a 7-11 convenience store is giving free samples. Terrible. Drink selection is good. Good variety."
103,Concorde - First Class,Dubai Airport,First Class,November 2016,,1.0,3.0,1.0,1.0,,1.0,no,2.0,"✅ Verified Review |  I am writing this review from the British Airways Dubai First Class lounge as we have a 2 hour delay on the flight. This is the ""new"" lounge and I agree its ""new"" as I passed though Dubai 14 months ago. I am not sure its an improvement on the old one (at least you could look at planes taxing by) and to be honest - its a complete joke. Passengers pass through the ""Club World"" lounge and are given (oddly) a pass to scan - to gain access to the all new ""Concorde"" lounge. If you ask me whats the difference? - I'd say, you tell me. Its a room, about six meters square. In the center it has a marble top Island to seat eight with power sockets. The seats are high stools and very uncomfortable. It has two alcoves which seats 2 persons a apiece. That's fine if you had something decent to eat. One wall has a couple of chillers and there is plenty of booze - including some fizz. Food? Well there is a hot plate and when we asked the floor attendant for some hot food - he said we don't offer it. I said when do you? he said ""never"". On offer was some hummus, sliced carrots, olives, stuffed vine leaves, pickled beans, sun blushed tomatoes, mixed salad, sickly cakes (which nobody touched) nuts, soup ( that came from the Club lounge) bread and some fruit. A coffee machine. That's it folks. Eight winged chairs (same as the Club option) sit around the room - four facing the white out window and the shopping mall and duty free. Ghastly. Uncomfortable. There is no separate toilets to business class. Given the Emirates competition (and Qantas) on this route, logic would tell you (well with BA logic is not on their vocabulary) - you would think they would want to beat them on quality, style and presentation. Three flights a day - with a potential for 40 or so 1st customers - you would think BA would want to stand out. They do - but for all the wrong reasons."
104,Swissport,Larnaca Airport,Business Class,November 2016,Business,2.0,2.0,2.0,1.0,2.0,2.0,no,2.0,"✅ Verified Review |  Pretty basic Swissport lounge at Larnaca Airport, food is very poor. A few dried up sandwiches and tiny squares of pizza and that's about it. Not enough power points to go around and the screaming kids does nothing to help one work. There is nothing luxury about this cafe at LCA."
105,First Class Lounge T5,London Heathrow Airport,First Class,October 2016,,4.0,3.0,4.0,4.0,3.0,4.0,yes,4.0,This lounge reminded me more of a good Business Lounge than a First Class Lounge. In peak time it was incredibly full and guests in there did not really know how to behave. I can't usually stand it when somebody puts his feet on a table in a public area or is (nearly) shouting via the phone. Staff was overloaded with work so the Lounge was not the cleanest. It is quite nice that you can have Champagne in there and that there is some food that can be ordered. Nonetheless the real First Class Lounge is probably the Concorde Room.
106,,Boston Logan Airport,First Class,October 2016,,1.0,4.0,1.0,1.0,1.0,2.0,yes,1.0,"✅ Verified Review |  A very poor British Airways lounge at Boston Logan Airport, with uncomfortable seating very close together and very few power outlets. Hot and airless with no windows and toilet facilities for men consisting of one toilet and one urinal stall. There is a full restaurant which I did not use. Small selection of food and drink"
107,Gatwick North,London Gatwick Airport,Business Class,October 2016,Business,3.0,4.0,2.0,3.0,4.0,2.0,no,2.0,This lounge at Gatwick Airport is quite a nice place and we spent a long time there because our flight was terribly delayed. I was looking forward to a glass of Prosecco but - they had run out - and a glass of champagne was £8. We did not have any food as we were expecting to eat on the plane when it eventually departed. There weren't many free seats in this lounge because of the delay and the most comfortable ones had already been taken. No-one seemed to know how to get wifi in the lounge but luckily someone in the Reception area was able to help us! We found this pretty surprising and no-one knew the right password to get into wifi!! We did eventually get it. It was ok but not great and we have been in better lounges for business travel in other countries in the world which are not nearly as civilised as London.
108,Galleries Lounge T3,London Heathrow Airport,Business Class,September 2016,Business,3.0,3.0,4.0,2.0,3.0,2.0,no,3.0,"✅ Verified Review |  This tired old British Airways lounge in Heathrow T3 is a disappointment. Other airlines are upping their game with lounge quality and BA is just resting on its laurels. The food selection in the evening is more like a school canteen than a business class lounge. There was a chicken casserole, lukewarm jacket potatoes, grated cheese, along with several empty catering vats that appeared to have once contained a pasta dish and baked beans. Twenty minutes later they were still empty. The drink selection was good. Champagne was available, but only on request and finding a member of staff is quite hard. When I did, they grudgingly headed off to wherever the bottle was locked away. Most tables were cluttered with dirty plates, glasses dishes and rubbish. Dishes and plates don’t clean themselves. There are not enough toilets to cope with the volume of passengers either. Standards are embarrassingly bad. In the end I left and went to the American Airlines lounge in Terminal 3 for some food."
109,Business Class,Johannesburg Airport,Business Class,August 2016,Business,3.0,3.0,5.0,4.0,2.0,4.0,no,5.0,British Airways lounge at Johannesburg Airport had a good selection of food and beverage. Temperature was fine. There are not enough charge stations and some seats were uncomfortable. Lounge gets very crowded. Bathroom and showers are not as luxurious as other airline lounges. I don't think I would use British Airways Business Class again. We used Air France Business Class in 2015 and I thought the seating and lounges were much better than British Airways.
110,,Phoenix Sky Harbor Airport,Business Class,August 2016,Business,1.0,1.0,1.0,1.0,,2.0,no,1.0,"The first and business class lounge at Phoenix Airport is not fit for purpose. There is nothing more I can add. It's small, outdated and a real disappointment. It doesn't even have washrooms, let alone a shower. It is a serious disappointment and similar to the 747 which we travelled in. If somebody senior at BA travelled with Etihad, Emirates or many other airlines they would realize very quickly that they are way behind."
111,,London Heathrow Airport,Business Class,August 2016,Business,5.0,4.0,4.0,4.0,4.0,4.0,yes,,"British Airways has three lounges at Heathrow. Two are at A Gate, North and South, both are always congested. But it is the B Lounge that I used this time (even I fly from A Gate) and it was excellent. B Gate lounge are mainly used by long haul passengers, and while the food service is the same it was not congested. Thus this time, when I arrived early, I used it even knowing that my flight would depart on a A Gate."
112,The Concorde Room,London Heathrow Airport,First Class,July 2016,,5.0,5.0,5.0,5.0,5.0,5.0,yes,5.0,"This is an excellent lounge. The dining room has a nice meal available with waiter service. On this occasion Steak and chips with a tasty sauce, beautifully cooked with excellent presentation and great service. I like the terrace in this lounge, a nice place to relax. The inside room is much better than the First Class lounge? Not really but the BA First Class lounge is a great place to be. The strict limitations on entry mean the Concorde room is never that busy."
113,Galleries Lounge,London Heathrow Airport,Business Class,July 2016,Business,2.0,3.0,2.0,1.0,1.0,1.0,no,2.0,Not impressed. Had to wait for plates and wine to be opened by harassed looking staff who could only be apologetic - and frankly school meals are better than the dross that was on offer. Then to be confronted by queues on the way out only reinforced the feeling that this is no premium service. Better save your money and use some of the excellent independent restaurants at Heathrow.
114,Galleries,Athens Airport,Frequent Flyer,July 2016,,2.0,4.0,3.0,3.0,,4.0,yes,4.0,"This Athens Airport British Airways lounge is a small lounge, space for about 50 people, furniture is more than 20 years old and really needs a refresh. I found it rather warm inside. A small selection of sandwiches and salads. All in all, I found it ok but nothing more than that - no need to go earlier to the airport to enjoy the lounge."
115,Concorde Room,London Heathrow Airport,First Class,July 2016,,5.0,4.0,5.0,5.0,5.0,4.0,yes,3.0,"This Concorde Room lounge is the best of the BA lounges in T5. If you book a flight in advance, book a private cabana in the lounge for a maximum of four hours, where you can sleep, shower, watch TV, make free phone calls and have room service. There is a dining room for breakfast, lunch and dinner with food and wine menus dotted around the lounge. There is also a Boardroom for internet and printer use, where the chairs are from Concorde. The bar is well stocked with premium drinks and a manned area for your luggage. There are plenty of chairs and sofas to relax in, although some of the furnishings are beginning to look a little tired. It is a great place to start a holiday or business trip, and it's never that crowded when I've visited."
116,Galleries,New York JFK Airport,Business Class,July 2016,Business,4.0,5.0,4.0,4.0,4.0,4.0,yes,4.0,"This is the first time I had used the Galleries lounge at JFK, which is also shared with Qantas and ANA passengers as part of the One World alliance. It is good to note though, that only BA Club World passengers are allowed to use the Elemis Spa and the pre-flight supper facility, otherwise it would be impossible to receive any of these services. It is a large, comfortable and clean lounge with showers, PCs, a bar and snacks. A great place to relax before a long flight."
117,T5 Business Lounge,London Heathrow Airport,Business Class,July 2016,Business,1.0,2.0,,1.0,2.0,1.0,no,3.0,Club Europe is the best option LHR to GVA and the Business Class lounge (my only option) was overcrowded (mainly families with small kids - who mostly sat in Economy) with very few seats available. When I did find a seat I went to get a pre flight snack and was mostly confronted by jacket potatoes and baked beans! I left the lounge and relaxed in one of the airport bar restaurants that was much more relaxing and provided better options and service.
118,,Rome Fiumicino Airport,Business Class,October 2015,Business,1.0,1.0,,,,,no,,"Booked a surprise anniversary holiday to Rome for my wife flying BA club class direct with BA in June 2015. Wanted something very special which included lounge services. Outward journey from Gatwick was great. Hotel was great. Arrived at Rome airport to find lounge was closed due to fire back in May 2015 and very limited eating facilities were available and all were full. No gate allocated due to delays, hence no seat. A bad experience waiting over 3 hours with coffee and pastry which BA did not provide. Wrote, emailed and called BA and response was very slow incoming. They confirmed that an email advising that the lounge was unavailable was sent to me. True this was posted out the last night before we left which I didn't retrieve until I got home. BA knew in June 2015 the Lounge was shut due to a fire the previous month. However, they didn't bother to tell me at time I booked holiday. No apology has very been forthcoming."
119,Concorde First,Dubai Airport,First Class,June 2016,,4.0,3.0,2.0,1.0,,1.0,no,3.0,"After using the pretty abysmal lounge British Airways had in terminal one and the new move to the new D gates in Dubai, I was expecting an upgraded first lounge. No staff to serve, good wines and coffee. If one is flying first from Dubai consider the competition of Emirates first. BA need to up their game big time!"
120,Terminal 3,London Heathrow Airport,Business Class,May 2016,Business,3.0,2.0,1.0,1.0,3.0,2.0,no,3.0,"I have not visited a British Airways Lounge for a few years. The one I visited recently was completely inferior from the last one I visited especially in the food and beverage area. This time, 3rd rate buffet fare, stale rolls and a wine selection from a cheap supermarket. The seating was reasonably comfortable, but seriously in need of a makeover. In summary a 2/5 experience whereas the likes of Emirates and Qatar at Heathrow would be close to 5/5."
121,Slow Lounge,Cape Town Airport,Business Class,May 2016,Business,4.0,4.0,3.0,4.0,5.0,4.0,yes,4.0,"This lounge is used by BA as it's business class lounge and for its Frequent Fliers. It is also available to Rand Merchant Private Bank customers. The lounge is spacious and comfortable with good views of the runway and aircraft parking bays. Staff are friendly, WiFi is good and free. Food and drinks offering is excellent and constantly replenished."
122,Galleries Terminal 5,London Heathrow Airport,Business Class,April 2016,Business,3.0,2.0,3.0,2.0,1.0,3.0,no,4.0,"The British Airways lounge at Heathrow Terminal 5 was really crowded during my visit this time and staff seemed overwhelmed. There were a lot of dirty plates and glasses all over the place. The washrooms were probably the worst bit. They were messy, dirty and smelly. The airport toilet were actually much better. The selection of food and drinks were nothing to shout about. In fact, the light meal menu choices (pasta, curry etc) have been unchanged for the last several years. Overall, this is not the worst business lounge I have ever been but don't expect the same quality offered by the premier airlines."
123,,Munich Airport,First Class,May 2016,,2.0,1.0,2.0,1.0,,2.0,no,3.0,British Airways lounge at Munich Airport. Probably the worst lounge I have been in. Hard to find and it was filthy. The seats were so gross you did not even want to sit on them. Really unbelievable for an airline with a reputation for quality.
124,Slow Lounge,Johannesburg Airport,Business Class,March 2016,Business,4.0,5.0,4.0,4.0,4.0,5.0,yes,4.0,"The ""Slow Lounge"" is a very well planned domestic lounge with excellent service from the moment you walk in. Staffing is first class and attentive. The variety on offer and the total cleanliness of the lounge all others within the domestic terminal."
125,,London Heathrow Airport,Business Class,March 2016,Business,3.0,4.0,4.0,3.0,4.0,3.0,yes,3.0,"British Airways has several Lounges at Heathrow Terminal 5 that are airy and spacious, but unfortunately it is always congested at Gate A area - the food is limited and always the same in more than a year as I used it often. The internet is not working properly most time and difficult to make a print out. However I discovered that the lounge at B Gate is much much better. It is never congested and far more comfortably in terms of space ratio. The trouble is that BA dies not announce whether flight is from A or B and you normally go to A."
126,No1 traveller,London Gatwick Airport,Business Class,April 2016,Business,3.0,4.0,2.0,1.0,2.0,3.0,yes,,"British Airways Club class passengers are being directed to this lounge while the BA business lounge is being refurbished for use by Virgin. According to BA staff at the front desk, No 1 will be the default BA lounge until January 2017, when British Airways will move operations to the South Terminal. Definitely something to bear in mind when choosing a carrier for your next flight, as No1 is a very poor substitute for the old North Terminal business lounge. The lounge is open access, and was very crowded when we used it at around midday on 1st April. A staff member took the trouble to find us seating when we complained. Because of the crowding, the lounge is very noisy. Self service provision of food was very limited, unattractive, and was not renewed quickly enough. Washrooms: there are 3 cubicles in the women's toilets, so inevitable queueing, although the area was clean and well fitted. No showers are available. Poor selection of newspapers and magazines."
127,,Amsterdam Schiphol Airport,Business Class,April 2016,Business,1.0,4.0,2.0,1.0,2.0,2.0,no,3.0,"British Airways website claims this lounge at Amsterdam Schiphol, recently refurbished, ""reflects the style and elegance of the Galleries lounges"" at LHR T5. I disagree. They also claim it has ""a deli area for light dining and a stylish bar"". The former offers soup, plastic cheese, and crisps. The latter is no more than a counter with a small selection of beverages (no champagne or sparkling wine). No sofas or anything you could recline on, if you were tired. On the plus side it has a nice view of the airfield."
128,Terminal 3 lounge,London Heathrow Airport,Business Class,March 2016,Business,1.0,1.0,1.0,1.0,1.0,1.0,no,2.0,"I can only concur with earlier reviews of this British Airways Heathrow T3 lounge regarding its poor overall quality and service. I have been in more welcoming bus stations! Food offerings were scant and were also poorly presented without care and attention. I do not expect haute cuisine at all (having used BA lounges before) but there were no dinner plates to place any food items on. When I was there in the early afternoon the only food offerings were rolls, salad, jacket potatoes (no butter) and baked beans. The only plates available were saucer sized (maybe this is their way of persuading people to not eat too much) and the drink can were half sized. Cost cutting is very much in evidence here and it also shows in the attitude of the staff who seemed really miserable. Tables took a long time to be cleared and some of the bins were overflowing. This is not how a lounge should be at all. I used the toilets and found these to be quite clean. I did wonder why the toilet rolls were placed about 6 inches above the ground however; a clear design flaw. BA should take a long and hard look at this lounge and make great strides in improving it. Giving the catering contract to a decent caterer (or use Marks and Spencer to provide food) would be a good start."
129,The Terrace,San Francisco Airport,Business Class,April 2016,Business,2.0,3.0,2.0,2.0,3.0,2.0,no,3.0,"This tiny British Airways lounge at San Francisco Airport had inadequate, uncomfortable seating and resembled a hospital waiting room. There were nowhere near enough seats for the stream of passengers entering. The poor selection of food that greeted us was a couple of empty platters with some disassembled sandwich remains which was only replenished after I asked (and ran out again in minutes each time it was laid out). The side plates kept running out too, staff were present but seemed to lack energy and speed. Very disappointing given the equally poor temporary arrangements at Gatwick when we flew out. A lackluster beginning and end to our holiday, and a disappointment in our flag carrier airline. We will book with other airlines in future."
130,No 1 Traveller,London Gatwick Airport,Business Class,March 2016,Business,3.0,3.0,4.0,5.0,,5.0,yes,3.0,"Was directed into the Gatwick Airport No 1 Traveller lounge as BA's lounge was under refurbishment. Overall, the lounge was lovely. Staff very attentive and friendly. Service was prompt. The downside is at times the lounge was very packed. Space to seat was hard to come by. I saw some people actually waited for their flight in the library due lack of space in the usual sofa area."
131,Galleries Lounge,Dubai Airport,Business Class,March 2016,Business,3.0,4.0,3.0,3.0,,3.0,yes,,"This is a brand new lounge that opened last month in the new Concourse D at DXB. While Concourse D works reasonably well, it is a long walk from this lounge to the gate, as in the past. I prefer the seating layout in their old lounge to this, as all the seats here are arranged in long rows that face each other, with only one corridor being a single row. Food has improved a bit in quality, but the lounge feels more crowded, and no longer offers any tarmac views. The decor is somewhat similar to the lounge at Washington Dulles, but that lounge has an exceptionally good layout and higher quality food, compared to this one. I am surprised that BA downgraded the ambience of this lounge, when Emirates has upgraded their lounges at DXB recently."
132,First Class Lounge,Dubai Airport,First Class,March 2016,,1.0,5.0,2.0,1.0,3.0,1.0,no,3.0,"What a disappointment the new British Airways First Class Lounge is at Dubai Airport, I travelled from there today & the lounge is just not working for me or other first class passengers who were commenting on it too. The lounge is a separate room from the rest of the new Galleries Lounge which has just opened in Terminal D at Dubai Airport. Overall both lounges are much smaller than the old lounge, & the views are internal through some form of frosted glass which you have to stand up to look out of. The first class lounge seating is a joke, not very comfortable & the food is well best left as the variety is very poor. You have a access card given to you when you arrive at the lounge to let you into the first class area, just so pretentious not really required & not wanted. There are no comfortable armchairs or sofas to relax on, just these boutique swivel chairs which are just very uncomfortable. I do not know who designed this lounge but I am sure they have never flown before or used a lounge before, they need to scrap the lot & start again as it is not working & no doubt cost a fortune to be designed by a clueless student. If you are going to use the new first class lounge then set your expectations very low."
133,,Chicago O'Hare Airport,First Class,March 2016,,4.0,5.0,5.0,4.0,,5.0,yes,,"This is a tiny lounge located in T5 at Chicago O'hare. It is cramped and has very little to offer as far as food selections; however, they will send you across the hall to dine pre-flight if so desired. The receptionist is very nice and the selection of nibbles is not bad. Drinks are readily available. The service staff is pleasant. Good view of the runways and flight movements."
134,BA Arrivals Lounge,London Heathrow Airport,First Class,March 2016,,5.0,5.0,5.0,5.0,,5.0,yes,,"After a bit of looking around I was able to locate the British Airways Arrivals lounge in T5. The reception staff was pleasant but not overly welcoming. After presenting my boarding pass for my arriving flight I was given entrance to the waiter assisted restaurant instead if the buffet. I had a ""Full English Breakfast"" while not overly generous in quantity was very good in quality. Aside from a screaming child, quite an enjoyable experience."
135,,London Gatwick Airport,Business Class,March 2016,Business,2.0,1.0,1.0,1.0,2.0,2.0,no,1.0,I used the Number 1 Lounge in the Gatwick North Terminal a couple of weeks ago due to British Airways refurbishing their normal lounge. Service really poor. Food poor. Atmosphere poor too. It has consistently been overcrowded and there was no space at all - I was waiting for 10 min just looking for a place to sit.
136,,Rome Fiumicino Airport,Business Class,March 2016,Business,3.0,1.0,1.0,1.0,2.0,1.0,yes,4.0,"I'd read that British Airways were using a third party lounge at Rome Airport since the fire last year, so I was delighted to learn at check in that the BA lounge was open. Apart from the space, everything else is a disgrace. No flight screens. Food left out uncovered for 2+ hrs, coffee machine not refilled. Crockery and cutlery not refilled (when asked, they said it was for security reasons!!!). Dirty crockery left uncleared for 2 hrs. Appalling service."
137,First,Chicago O'Hare Airport,First Class,March 2016,,1.0,3.0,2.0,1.0,1.0,4.0,no,4.0,"Absolutely dreadful experience at this British Airways lounge at Chicago O'Hare Airport. Inadequate in every respect and certainly not of First Class quality. Small, crowded, cramped, limited food choices. Disappointing if this is the best oneworld has to offer at ORD. Don't waste too much time here, if any."
138,Blue lounge,Lisbon Airport,Business Class,November 2015,Business,2.0,2.0,1.0,1.0,1.0,2.0,no,3.0,"I am a British Airways Gold Exec card holder, though my loyalty to BA is diminishing as time goes by. The lounge in Lisbon is a shared lounge with the ability to purchase entry. It is completely the opposite end of the terminal to passport control. I have been using this lounge for over 3 years and have had cause to complain on numerous occasions. The food selection has remained the same in all this while, often dry sandwiches and a few pastries regardless of time of day. I regularly have to ask for ice, quite often to be told it is in the other lounge, (there are two separate lounges divided by the reception). On one occasion there was no coffee available at 6.00 in the morning for the first flight. This flight also means that the food service has not been stocked or cleaned from the previous day. I have not once seen a BA staff member checking the establishment. There are no spare electrical sockets for charging, one must remove a lamp. The toilets often smell and are often unclean. Despite complining to BA and being assured that the matter will be resolved, it has not. British Airways, I have a choice using Emirates."
139,VIP lounge,Marrakech Airport,Business Class,February 2016,Business,1.0,3.0,1.0,2.0,1.0,2.0,no,1.0,"This lounge is truly dreadful : it does not even have washing or toilet facilities. It has a few comfortable chairs (an insufficient number), coffee was lukewarm, the departure displays were incorrect. The wifi did not work. Thankfully we were travelling for leisure and not business as the place had lots of noisy children in it too."
140,No 1 lounge,London Gatwick Airport,Business Class,February 2016,Business,4.0,4.0,5.0,4.0,3.0,5.0,yes,4.0,"British Airways are currently refurbishing their Gatwick lounge and relocating it to South terminal. No 1 lounge was fine but it did mean that it was more crowded than normal. However, the choice of food and service was very good, though it could do with a few more chairs in the quiet area."
141,T3 Lounge,London Heathrow Airport,Business Class,February 2016,Business,1.0,1.0,1.0,1.0,1.0,1.0,no,3.0,"The transfer of British Airways LHR-Phoenix flight from T5 to T3 gave hope that with it would come a bright, shiny business lounge. Alas, that hasn't happened. The impression you get is that the airline is trying to do more with less, cramming as many people into a small space as they can and getting away with providing a few nondescript snacks to keep the masses fed. The reality is that British Airways has outdone even the tatty T5 lounges in stripping away any vestiges of comfort and it is a reason not to enjoy (or should that be 'endure') pre-flight relaxation in there. Dirty plates, glasses, cups and cutlery are left laying on surfaces for ages, the carpet and upholstery is already grubby and stained, and I swear there is more food on the carpets than on the servery. As an airline, BA is fast slipping down the league table and what was always considered a premier airline is now nothing more than an expensive middle of the road haulier. They should invest in staff who at least hold the customer in more than thinly-veiled contempt, as once you get past reception you are unlikely to see a smiling face. I'll still fly their LHR-PHX route each month but will avoid the lounge in future, instead putting myself at the mercy of the general concourse. It's got to be better, safer and more hygienic."
